SKU,Order Quantity,Customer Return Quantity,Net Quantity,COG,GST,Transportation Cost,Stockist Markup,Updated COG,Stockist Payment,Settlement,Input Credits,GST Payable,GST Receivable,Net Margin,J/I
9011BROWN,3,0,3,103,18.54,0.8,3,125.34,376.02,-139.94,12.99,-60.86440678,55.62,-386.4855932,3
ADPUVS222BLBL,65,12,53,153,27.54,0.8,3.5,184.84,10351.04,12966.32,1406.52,1805.338983,1542.24,3758.701017,56
ADPUVS222BRBR,49,13,36,153,27.54,0.8,3.5,184.84,6654.24,10919.61,852.54,834.2542373,991.44,5275.095763,36
AF0032BROWN,2,0,2,176,31.68,0,4,211.68,423.36,707.44,58.66,152.2372881,63.36,253.8627119,2
AF0032NAVYBLUE,0,0,0,194,34.92,3,0,231.92,0,0,0,0,0,0,0
AFAT00013BRBR,1,0,1,255,45.9,3,0,303.9,303.9,329.69,28.66,72.15254237,45.9,28.19745763,1
AFAT00013MRBLU,2,0,2,255,45.9,3,0,303.9,607.8,705.6,58.6,151.9322034,91.8,96.26779661,2
AFAT0013BLBL,1,1,0,255,45.9,3,0,303.9,303.9,157.41,28.66,72.15254237,45.9,-144.0825424,1
AFAT0013BRBR,2,0,2,255,45.9,3,0,303.9,607.8,603.96,55.74,135.1525424,91.8,8.547457627,2
AFAT0013MRBL,2,0,2,255,45.9,3,0,303.9,607.8,659.38,57.32,144.3050847,91.8,56.39491525,2
AFAT0023BLBLU,2,0,2,250,45,3,0,298,596,702.55,54.9,148.1186441,90,103.3313559,2
AFAT0023MRBL,8,2,6,225,40.5,3,0,268.5,1879.5,2195.24,163.42,508.8813559,283.5,253.7786441,7
AFAT0023MRBLU,10,0,10,225,40.5,3,0,268.5,2685,2683.75,230.55,493.6271186,405,140.6728814,10
AFAT0032BLBL,0,1,-1,176,31.68,0,4,211.68,0,-434.09,0,0,0,-434.09,0
AFAT0032BLK,6,0,6,176,31.68,0,4,211.68,1270.08,1697.24,164.06,386.5423729,190.08,394.7576271,6
AFCH9011BLBL,6,2,4,103,18.54,0,3,124.54,498.16,882.04,94.87,201.3559322,74.16,351.5540678,4
AFCH9011BRBR,23,13,10,103,18.54,0.8,3,125.34,1629.42,2413.75,265.5,577.0677966,241.02,713.7822034,13
AFKH0032NAVY,1,1,0,194,34.92,3,0,231.92,231.92,135.25,28.02,68.49152542,34.92,-102.2215254,1
AFV1VS222BRBR,1,0,1,153,27.54,0.8,3.5,184.84,184.84,-382.4,-6.6,-59.33898305,27.54,-486.9610169,1
AFV1WM0024BRBL,22,4,18,195,35.1,0,5,235.1,4466.9,6497.62,517.92,1162.677966,666.9,2052.862034,19
AFV1WM0024BRBR,2,0,2,195,35.1,0,5,235.1,470.2,681.61,58.84,148.1186441,70.2,192.3313559,2
AFWM00024BLBLU,1,0,1,250,45,3,0,298,298,329.69,28.66,72.15254237,45,33.19745763,1
AFWM00024MRBL,3,1,2,250,45,3,0,298,894,1314.08,85.98,216.4576271,135,424.6023729,3
AFWM00024MRBLU,3,1,2,250,45,3,0,298,894,793.19,85.98,216.4576271,135,-96.28762712,3
AFWM0024BLBL,5,0,5,250,45,3,0,298,1490,1341.88,115.27,292.4237288,225,-100.2737288,5
BKPUVS222BLBL,1,2,-1,153,27.54,0.8,3.5,184.84,184.84,-85.17,28.01,68.33898305,27.54,-282.7989831,1
BKPUVS222BRBR,4,0,4,153,27.54,0.8,3.5,184.84,739.36,634.26,75.99,152.5423729,110.16,-71.49237288,4
BKV1AT7TNTN,0,0,0,164,29.52,3,0,196.52,0,0,0,0,0,0,0
FRAT0013BRBR,1,0,1,255,45.9,3,0,303.9,303.9,436.54,43.56,100.6779661,45.9,121.4220339,1
FRWM0007BLBL,3,0,3,164,29.52,3,0,196.52,589.56,747,79.15,176.4915254,88.56,148.6584746,3
HMPUVS222BLBL,8,0,8,153,27.54,0.8,3.5,184.84,1478.72,1209.55,141.35,220.5762712,220.32,-128.0762712,8
HMPUVS222BRBR,5,1,4,153,27.54,0.8,3.5,184.84,924.2,1726.8,114.02,69.40677966,137.7,984.9132203,5
HMPUVS222TNTN,0,0,0,153,27.54,0.8,3.5,184.84,0,-346.33,0,0,0,-346.33,0
HMWM00024MRBL,0,0,0,250,45,3,0,298,0,0,0,0,0,0,0
TSPUVS222BLBL,2,0,2,153,27.54,0.8,3.5,184.84,369.68,761.1,47.8,149.7966102,55.08,344.5033898,2